language;voc;page;line;Type;Der-Die-Das;Mot en ALL;pluriel;Mot FR
allemand;voc4;p25;1;phrase;;Herzlichen Glückwunsch zum Geburtstag!;;Joyeux anniversaire !
allemand;voc4;p25;2;phrase;;Frohe Ostern!;;Joyeuses Pâques !
allemand;voc4;p25;3;phrase;;Frohe Weihnachten!;;Joyeux Noël !
allemand;voc4;p25;4;phrase;;Alles Gute!;;Tout de bon !
allemand;voc4;p25;5;phrase;;Kommst du?;;Tu viens ?
allemand;voc4;p25;6;phrase;;Viel Glück!;;Bonne chance !
allemand;voc4;p25;7;phrase;;Gute Reise!;;Bon voyage !
allemand;voc4;p25;8;phrase;;Gute Besserung!;;Bon rétablissement !
allemand;voc4;p25;9;phrase;;Guten Appetit!;;Bon appétit !
allemand;voc4;p25;10;mot;der;Geburtstag;-e;l’anniversaire
allemand;voc4;p25;11;phrase;;Wann hast du Geburtstag?;;Quand as-tu ton anniversaire ?
allemand;voc4;p25;12;phrase;;Ich habe am … Geburtstag;;J’ai mon anniversaire le…
allemand;voc4;p25;13;mot;die;Party;-s;la fête
allemand;voc4;p25;14;phrase;;Wie war die Party?;;Comment était la fête ?
allemand;voc4;p25;15;phrase;;Die Party war super!;;La fête était super !
allemand;voc4;p25;16;mot;der;Kuchen;-;le gâteau
allemand;voc4;p25;17;mot;der;Saft;ä-e;le jus
allemand;voc4;p25;18;mot;das;Geschenk;-e;le cadeau
allemand;voc4;p25;19;mot;der;Eistee;-s;le thé froid
allemand;voc4;p26;1;mot;die;Geburtstagsparty;-s;la fête d’anniversaire
allemand;voc4;p26;2;phrase;;feiern, er feiert;;fêter, faire la fête
allemand;voc4;p26;3;phrase;;Wir feiern im Garten;;Nous faisons la fête dans le jardin.
allemand;voc4;p26;4;phrase;;ein|laden, er lädt ein;;inviter
allemand;voc4;p26;5;phrase;;Ich lade meine Freunde ein.;;J’invite mes amis.
allemand;voc4;p26;6;phrase;;Komm doch später!;;Viens donc plus tard !
allemand;voc4;p26;7;phrase;;mit|bringen, er bringt … mịt;;apporter
allemand;voc4;p26;8;phrase;;Sie bringt ein Geschenk mit.;;Elle apporte un cadeau.
allemand;voc4;p26;9;mot;der;Ausflug;ü-e;l’excursion, la sortie
allemand;voc4;p26;10;phrase;;Wir machen einen Ausflug in die Berge.;;Nous faisons une excursion à la montagne.
allemand;voc4;p26;11;mot;der;Gast;ä-e;l’hôte, l’invité
allemand;voc4;p26;12;phrase;;Gestern hatte ich keine Zeit/Lust.;;Hier, je n’avais pas le temps / pas envie.
allemand;voc4;p26;13;phrase;;früh auf |stehen, er steht früh auf;;se lever tôt
allemand;voc4;p26;14;phrase;;lange schlafen, er schläft lange;;dormir longtemps
allemand;voc4;p26;15;mot;die;Einladung;-en;l’invitation
allemand;voc4;p26;16;phrase;;Danke für deine Einladung.;;Merci pour ton invitation.
allemand;voc4;p26;17;mot;die;Jugendlichen (Plural);;les jeunes
allemand;voc4;p26;18;mot;der;König;-e;le roi
allemand;voc4;p26;19;mot;die;Königin;-nen;la reine
allemand;voc4;p26;20;phrase;;im Frühling;;au printemps
allemand;voc4;p26;21;phrase;;im Sommer;;en été
allemand;voc4;p26;22;phrase;;im Herbst;;en automne
allemand;voc4;p26;23;phrase;;im Winter;;en hiver
allemand;voc4;p26;24;mot;der;Monat;-e;le mois
allemand;voc4;p26;25;phrase;;im Januar;;en janvier
allemand;voc4;p26;26;phrase;;im Februar;;en février
allemand;voc4;p26;27;phrase;;im März;;en mars
allemand;voc4;p26;28;phrase;;im April;;en avril
allemand;voc4;p27;1;phrase;;im Mai;;en mai
allemand;voc4;p27;2;phrase;;im Juni;;en juin
allemand;voc4;p27;3;phrase;;im Juli;;en juillet
allemand;voc4;p27;4;phrase;;im August;;en août
allemand;voc4;p27;5;phrase;;im Septẹmber;;en septembre
allemand;voc4;p27;6;phrase;;im Oktober;;en octobre
allemand;voc4;p27;7;phrase;;im November;;en novembre
allemand;voc4;p27;8;phrase;;im Dezember;;en décembre
allemand;voc4;p27;9;mot;der;Kalender;-;le calendrier
allemand;voc4;p27;10;mot;die;Jahreszeit;-en;la saison
allemand;voc4;p27;11;phrase;;Es gibt vier Jahreszeiten.;;Il y a quatre saisons.
allemand;voc4;p27;12;phrase;;immer;;toujours
allemand;voc4;p27;13;phrase;;meistens;;le plus souvent, la plupart du temps
allemand;voc4;p27;14;phrase;;oft;;souvent
allemand;voc4;p27;15;phrase;;manchmal;;parfois
