Der-Die-Das;Mot en ALL;pluriel;Mot FR
Die;Reise;-n;le voyage
;Alle sind müde und schlafen;;tous sont fatigués et dorment
Der;Treffpunkt;-e;le point de rencontre
Das;Internet;;internet
;Im Hostel ist das Internet gratis;;A l auberge, l accès internet est gratuit
Das;Taschengeld (sing);;l argent de poche
Das;Souvenir;s; Le souvenir
Das;Internet,;;internet
Das;WLAN;;wifi
;gratis;;gratuit
Das;Tram;;le tram
;müde;;fatigué,-e
Die;Abfahrt;en;le départ
Der;Treffpunkt;e;le point de rencontre
Die;Ankunft;¨ e;L arrivée
Die;Rückreise;n;le retour
Die;Strassenbahn;en;le tram(way)
Die;Ruhe (sing);;le silence
;Ab 22 Uhr ist Ruhe;;A partir de 22 H le silence est de rigueur
;Er hat kein Geld mehr;;il n’a plus d argent
;pleite sein, er ist pleite;;être fauché,-e
;leihen, er leiht, hat geliehen;;prêter
;Man kann Fahrräder leihen;;on peut prêter des bicyclettes
Das;Gepäck (sing);;les bagages
;ab/geben, er gibt ab, hat abgegeben;;déposer
Der;Speisesaal;¨-e;la salle à manger
Das;Geschenk;e;le cadeau
;kochen er kocht, er hat gekocht;;cuisiner
;probieren, er probiert, er hat probiert;;essayer
;zeigen, er zeigt, er hat gezeigt;;montrer
;aus/packen, er packt aus, er hat ausgepackt;;déballer, ouvrir
;Victor hat die Geschenke ausgepackt;;Victor a ouvert les cadeaux
;reden, er redet, er hat geredet;;parler
;Musik hören, er hört, hat gehört;;écouter de la musique
;tanzen, er tanzt, hat getanzt;;danser
;auf/räumen, er räumt auf, hat aufgeräumt;;ranger
;Jens und Martina haben die Küche aufgeräumt;; Jens et Martina ont rangé la cuisine
;küssen, er küsst, hat geküsst;;embrasser
;Wer hat Jens geküsst?;;qui a embrassé Jens?
;stimmen;;être juste, vrai
;das stimmt;;c’est juste
;das stimmt nicht;;ce n’est pas juste/vrai
;sauer sein, er ist sauer;;être fâché
;Alexandra ist sauer;;Alexandra est fâchée
;Entschuldigung!;;Excusez moi
;Ich hätte gern;;J’aimerai bien…
;Wie viel kostet…;;Combien coûte…
;Wie spät ist es?;;Quelle heure est il?
;Wo ist die Toilette, bitte?;;Où sont les toilettes SVP?
;Wie komme ich….;;comment est ce que je vais …
;… zur Polizei?;;à la police?
;...zum Bahnhof?;;à la gare?
;Welcher Bus fährt ins Zentrum?;;Quel bus va dans le centre?
;Wann fährt…?;;A quelle heure part…?
;Gibt es hier Fahrkarten?;;Y a t il des billets ici?
;Kann ich bitte noch eine Cola haben?;;Pourrias je encore avoir un coco SVP?
Das;Museum;die Museen;le musée
Der;Zoo;-s;le zoo
Das;Zentrum;;le centre
Die;Farhkarte;-n;le billet, le titre de transport
;kaufen, er kauft, hat gekauft;;acheter
;essen, er isst hat gegessen;;manger
;besuchen, er besucht, hat besucht;;visiter
;mit/kommen, er kommt mit, ist mitgekommen;;venir avec qqn
;kommst du mit?;;Tu viens (avec moi avec nous)?
Die;Kirche;-n;l église
;Sie geht in die Kirche;;elle va à l’église
Der;Turm;"""-e";la tour
Die;Brücke;-n;Le pont
;Wir gehen über die Brücke;;Nous traversons le pont
Das;Stadion;Stadien;le stade
Das;Fussballstadion;-stadien;le stade de football
Die;Polizei;;la police
;steigen, er steigt, ist gestiegen;; Jens et Martina ont rangé la cuisine
;Wir sind auf dem Turm gestiegen;;nous sommes montés en haut de la tour
;besichtigen, er besichtigt, hat besichtigt;;visiter (la ville)
;Wie haben die Stadt besichtigt;;nous avons visité la ville
Der;Meter;,-;le mètre
Die;Altstadt;,¨-e;la vieille ville, la cité
Das;Kunstmuseum;,-museen;le musée d’art
